wick_threshold,direction,exit_type,risk_profile,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,expectancy,avg_win,avg_loss,final_balance
5.0,both,rr_2,aggressive,9,4,5,44.44,-8242.58,-82.43,92.49,-2.414,-3.8,0.44,-915.84,1632.66,2954.65,1625.54
5.0,both,rr_2,degen,7,2,5,28.57,-10935.86,-109.36,107.38,-5.584,-9.061,0.41,-1562.27,3842.66,3724.24,-1108.21
5.0,both,rr_3,conservative,8,2,6,25.0,-2534.15,-25.34,35.51,-3.211,-6.084,0.57,-316.77,1697.22,988.1,7417.29
5.0,both,rr_3,moderate,8,2,6,25.0,-4422.56,-44.23,56.01,-3.211,-6.084,0.55,-552.82,2717.44,1642.91,5497.41
5.0,both,rr_3,aggressive,8,2,6,25.0,-8631.25,-86.31,91.85,-3.211,-6.084,0.53,-1078.91,4782.74,3032.79,1219.98
5.0,both,rr_3,degen,7,2,5,28.57,-11359.53,-113.6,108.89,-2.734,-5.339,0.52,-1622.79,6143.46,4729.29,-1564.19
6.0,long,fixed_10,conservative,2,2,0,100.0,2048.65,20.49,5.9,5.133786323360658e+16,0.0,99.99,1024.32,1024.32,0.0,12036.06
6.0,long,fixed_10,moderate,2,2,0,100.0,3519.8,35.2,9.83,4.278155269467213e+16,0.0,99.99,1759.9,1759.9,0.0,13498.17
6.0,long,fixed_10,aggressive,2,2,0,100.0,7566.53,75.67,19.66,3.817519510208796e+16,0.0,99.99,3783.26,3783.26,0.0,17520.03
6.0,long,fixed_10,degen,2,2,0,100.0,12140.18,121.4,29.49,3.63573286686552e+16,0.0,99.99,6070.09,6070.09,0.0,22065.58
6.0,long,fixed_12,conservative,2,1,1,50.0,-236.09,-2.36,24.79,-0.564,0.0,0.81,-118.05,1027.31,1263.4,9752.66
6.0,long,fixed_12,moderate,2,1,1,50.0,-559.45,-5.59,38.39,-0.564,0.0,0.73,-279.73,1546.22,2105.67,9422.65
6.0,long,fixed_12,aggressive,2,1,1,50.0,-1948.74,-19.49,64.56,-0.564,0.0,0.54,-974.37,2262.61,4211.35,8019.71
6.0,long,fixed_12,degen,2,1,1,50.0,-4167.85,-41.68,82.38,-0.564,0.0,0.34,-2083.92,2149.18,6317.03,5791.17
6.0,long,fixed_15,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
6.0,long,fixed_15,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
6.0,long,fixed_15,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
6.0,long,fixed_15,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
6.0,long,fixed_20,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
6.0,long,fixed_20,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
6.0,long,fixed_20,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
6.0,long,fixed_20,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
6.0,long,time_20,conservative,2,2,0,100.0,438.05,4.38,13.03,29.583,0.0,99.99,219.02,219.02,0.0,10425.99
6.0,long,time_20,moderate,2,2,0,100.0,733.6,7.34,20.62,29.583,0.0,99.99,366.8,366.8,0.0,10713.43
6.0,long,time_20,aggressive,2,2,0,100.0,1484.79,14.85,36.62,29.583,0.0,99.99,742.39,742.39,0.0,11444.13
6.0,long,time_20,degen,2,2,0,100.0,2253.56,22.54,49.47,29.583,0.0,99.99,1126.78,1126.78,0.0,12192.11
6.0,long,time_30,conservative,2,1,1,50.0,26.4,0.26,16.2,0.967,0.0,1.1,13.2,293.42,267.01,10014.56
6.0,long,time_30,moderate,2,1,1,50.0,34.85,0.35,25.41,0.967,0.0,1.08,17.43,479.88,445.02,10015.3
6.0,long,time_30,aggressive,2,1,1,50.0,23.95,0.24,44.15,0.967,0.0,1.03,11.97,914.0,890.05,9985.75
6.0,long,time_30,degen,2,1,1,50.0,-32.71,-0.33,58.34,0.967,0.0,0.98,-16.35,1302.37,1335.07,9911.36
6.0,long,time_40,conservative,2,1,1,50.0,-249.01,-2.49,14.82,-11.993,0.0,0.14,-124.5,40.14,289.14,9738.97
6.0,long,time_40,moderate,2,1,1,50.0,-416.1,-4.16,23.16,-11.993,0.0,0.14,-208.05,66.9,483.0,9563.83
6.0,long,time_40,aggressive,2,1,1,50.0,-837.67,-8.38,40.09,-11.993,0.0,0.14,-418.84,133.79,971.46,9122.08
6.0,long,time_40,degen,2,1,1,50.0,-1264.71,-12.65,53.0,-11.993,0.0,0.14,-632.35,200.69,1465.39,8674.75
6.0,long,rr_2,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
6.0,long,rr_2,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
6.0,long,rr_2,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
6.0,long,rr_2,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
6.0,long,rr_3,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
6.0,long,rr_3,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
6.0,long,rr_3,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
6.0,long,rr_3,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
6.0,short,fixed_10,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,fixed_10,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,fixed_10,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,fixed_10,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,fixed_12,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,fixed_12,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,fixed_12,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,fixed_12,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,fixed_15,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,fixed_15,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,fixed_15,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,fixed_15,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,fixed_20,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,fixed_20,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,fixed_20,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,fixed_20,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,time_20,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,time_20,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,time_20,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,time_20,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,time_30,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,time_30,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,time_30,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,time_30,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,time_40,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,time_40,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,time_40,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,time_40,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,rr_2,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,rr_2,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,rr_2,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,rr_2,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,short,rr_3,conservative,1,0,1,0.0,-649.57,-6.5,9.45,0.0,0.0,0.0,-649.57,0.0,649.57,9344.43
6.0,short,rr_3,moderate,1,0,1,0.0,-1082.62,-10.83,15.43,0.0,0.0,0.0,-1082.62,0.0,1082.62,8907.39
6.0,short,rr_3,aggressive,1,0,1,0.0,-2165.24,-21.65,29.37,0.0,0.0,0.0,-2165.24,0.0,2165.24,7814.77
6.0,short,rr_3,degen,1,0,1,0.0,-3247.86,-32.48,42.03,0.0,0.0,0.0,-3247.86,0.0,3247.86,6722.16
6.0,both,fixed_10,conservative,3,2,1,66.67,1265.75,12.66,14.79,8.993,0.0,2.78,421.92,989.19,712.64,11247.01
6.0,both,fixed_10,moderate,3,2,1,66.67,2055.31,20.55,23.74,8.993,0.0,2.63,685.1,1656.56,1257.8,12023.34
6.0,both,fixed_10,aggressive,3,2,1,66.67,3758.67,37.59,43.25,8.993,0.0,2.31,1252.89,3312.33,2865.98,13691.5
6.0,both,fixed_10,degen,3,2,1,66.67,4937.36,49.37,59.12,8.993,0.0,2.02,1645.79,4880.94,4824.52,14832.83
6.0,both,fixed_12,conservative,3,1,2,33.33,-870.56,-8.71,29.72,-3.763,-12.719,0.52,-290.19,959.96,915.26,9113.31
6.0,both,fixed_12,moderate,3,1,2,33.33,-1581.97,-15.82,45.12,-3.763,-12.719,0.47,-527.32,1377.28,1479.62,8393.12
6.0,both,fixed_12,aggressive,3,1,2,33.33,-3692.22,-36.92,72.3,-3.763,-12.719,0.32,-1230.74,1768.18,2730.2,6267.22
6.0,both,fixed_12,degen,3,1,2,33.33,-6058.74,-60.59,88.15,-3.763,-12.719,0.19,-2019.58,1444.71,3751.73,3892.92
6.0,both,fixed_15,conservative,3,0,3,0.0,-3868.36,-38.68,44.01,-30.38,-30.38,0.0,-1289.45,0.0,1289.45,6115.51
6.0,both,fixed_15,moderate,3,0,3,0.0,-5882.98,-58.83,64.54,-30.38,-30.38,0.0,-1960.99,0.0,1960.99,4092.11
6.0,both,fixed_15,aggressive,3,0,3,0.0,-9213.95,-92.14,94.3,-30.38,-30.38,0.0,-3071.32,0.0,3071.32,745.49
6.0,both,fixed_15,degen,3,0,3,0.0,-10570.34,-105.7,104.23,-30.38,-30.38,0.0,-3523.45,0.0,3523.45,-618.68
6.0,both,fixed_20,conservative,3,0,3,0.0,-3868.36,-38.68,44.01,-30.38,-30.38,0.0,-1289.45,0.0,1289.45,6115.51
6.0,both,fixed_20,moderate,3,0,3,0.0,-5882.98,-58.83,64.54,-30.38,-30.38,0.0,-1960.99,0.0,1960.99,4092.11
6.0,both,fixed_20,aggressive,3,0,3,0.0,-9213.95,-92.14,94.3,-30.38,-30.38,0.0,-3071.32,0.0,3071.32,745.49
6.0,both,fixed_20,degen,3,0,3,0.0,-10570.34,-105.7,104.23,-30.38,-30.38,0.0,-3523.45,0.0,3523.45,-618.68
6.0,both,time_20,conservative,3,2,1,66.67,-239.79,-2.4,18.73,-2.713,0.0,0.63,-79.93,207.97,655.73,9742.49
6.0,both,time_20,moderate,3,2,1,66.67,-427.92,-4.28,29.29,-2.713,0.0,0.61,-142.64,335.9,1099.72,9542.87
6.0,both,time_20,aggressive,3,2,1,66.67,-999.91,-10.0,50.47,-2.713,0.0,0.55,-333.3,616.86,2233.63,8943.33
6.0,both,time_20,degen,3,2,1,66.67,-1721.72,-17.22,66.03,-2.713,0.0,0.49,-573.91,840.01,3401.73,8195.73
6.0,both,time_30,conservative,3,1,2,33.33,-624.67,-6.25,21.7,-8.33,-17.001,0.31,-208.22,274.18,449.43,9358.04
6.0,both,time_30,moderate,3,1,2,33.33,-1050.94,-10.51,33.56,-8.33,-17.001,0.29,-350.31,427.44,739.19,8921.01
6.0,both,time_30,aggressive,3,1,2,33.33,-2143.97,-21.44,56.36,-8.33,-17.001,0.25,-714.66,714.27,1429.12,7803.64
6.0,both,time_30,degen,3,1,2,33.33,-3264.09,-32.64,72.0,-8.33,-17.001,0.21,-1088.03,875.47,2069.78,6662.58
6.0,both,time_40,conservative,3,1,2,33.33,-881.84,-8.82,19.22,-16.858,-26.256,0.04,-293.95,40.14,460.99,9100.51
6.0,both,time_40,moderate,3,1,2,33.33,-1452.11,-14.52,29.99,-16.858,-26.256,0.04,-484.04,66.9,759.5,8518.87
6.0,both,time_40,aggressive,3,1,2,33.33,-2815.26,-28.15,51.44,-16.858,-26.256,0.05,-938.42,133.79,1474.53,7128.7
6.0,both,time_40,degen,3,1,2,33.33,-4087.66,-40.88,67.02,-16.858,-26.256,0.05,-1362.55,200.69,2144.17,5831.31
6.0,both,rr_2,conservative,3,0,3,0.0,-3868.36,-38.68,44.01,-30.38,-30.38,0.0,-1289.45,0.0,1289.45,6115.51
6.0,both,rr_2,moderate,3,0,3,0.0,-5882.98,-58.83,64.54,-30.38,-30.38,0.0,-1960.99,0.0,1960.99,4092.11
6.0,both,rr_2,aggressive,3,0,3,0.0,-9213.95,-92.14,94.3,-30.38,-30.38,0.0,-3071.32,0.0,3071.32,745.49
6.0,both,rr_2,degen,3,0,3,0.0,-10570.34,-105.7,104.23,-30.38,-30.38,0.0,-3523.45,0.0,3523.45,-618.68
6.0,both,rr_3,conservative,3,0,3,0.0,-3868.36,-38.68,44.01,-30.38,-30.38,0.0,-1289.45,0.0,1289.45,6115.51
6.0,both,rr_3,moderate,3,0,3,0.0,-5882.98,-58.83,64.54,-30.38,-30.38,0.0,-1960.99,0.0,1960.99,4092.11
6.0,both,rr_3,aggressive,3,0,3,0.0,-9213.95,-92.14,94.3,-30.38,-30.38,0.0,-3071.32,0.0,3071.32,745.49
6.0,both,rr_3,degen,3,0,3,0.0,-10570.34,-105.7,104.23,-30.38,-30.38,0.0,-3523.45,0.0,3523.45,-618.68
7.0,long,fixed_10,conservative,2,2,0,100.0,2048.65,20.49,5.9,5.133786323360658e+16,0.0,99.99,1024.32,1024.32,0.0,12036.06
7.0,long,fixed_10,moderate,2,2,0,100.0,3519.8,35.2,9.83,4.278155269467213e+16,0.0,99.99,1759.9,1759.9,0.0,13498.17
7.0,long,fixed_10,aggressive,2,2,0,100.0,7566.53,75.67,19.66,3.817519510208796e+16,0.0,99.99,3783.26,3783.26,0.0,17520.03
7.0,long,fixed_10,degen,2,2,0,100.0,12140.18,121.4,29.49,3.63573286686552e+16,0.0,99.99,6070.09,6070.09,0.0,22065.58
7.0,long,fixed_12,conservative,2,1,1,50.0,-236.09,-2.36,24.79,-0.564,0.0,0.81,-118.05,1027.31,1263.4,9752.66
7.0,long,fixed_12,moderate,2,1,1,50.0,-559.45,-5.59,38.39,-0.564,0.0,0.73,-279.73,1546.22,2105.67,9422.65
7.0,long,fixed_12,aggressive,2,1,1,50.0,-1948.74,-19.49,64.56,-0.564,0.0,0.54,-974.37,2262.61,4211.35,8019.71
7.0,long,fixed_12,degen,2,1,1,50.0,-4167.85,-41.68,82.38,-0.564,0.0,0.34,-2083.92,2149.18,6317.03,5791.17
7.0,long,fixed_15,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
7.0,long,fixed_15,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
7.0,long,fixed_15,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
7.0,long,fixed_15,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
7.0,long,fixed_20,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
7.0,long,fixed_20,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
7.0,long,fixed_20,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
7.0,long,fixed_20,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
7.0,long,time_20,conservative,2,2,0,100.0,438.05,4.38,13.03,29.583,0.0,99.99,219.02,219.02,0.0,10425.99
7.0,long,time_20,moderate,2,2,0,100.0,733.6,7.34,20.62,29.583,0.0,99.99,366.8,366.8,0.0,10713.43
7.0,long,time_20,aggressive,2,2,0,100.0,1484.79,14.85,36.62,29.583,0.0,99.99,742.39,742.39,0.0,11444.13
7.0,long,time_20,degen,2,2,0,100.0,2253.56,22.54,49.47,29.583,0.0,99.99,1126.78,1126.78,0.0,12192.11
7.0,long,time_30,conservative,2,1,1,50.0,26.4,0.26,16.2,0.967,0.0,1.1,13.2,293.42,267.01,10014.56
7.0,long,time_30,moderate,2,1,1,50.0,34.85,0.35,25.41,0.967,0.0,1.08,17.43,479.88,445.02,10015.3
7.0,long,time_30,aggressive,2,1,1,50.0,23.95,0.24,44.15,0.967,0.0,1.03,11.97,914.0,890.05,9985.75
7.0,long,time_30,degen,2,1,1,50.0,-32.71,-0.33,58.34,0.967,0.0,0.98,-16.35,1302.37,1335.07,9911.36
7.0,long,time_40,conservative,2,1,1,50.0,-249.01,-2.49,14.82,-11.993,0.0,0.14,-124.5,40.14,289.14,9738.97
7.0,long,time_40,moderate,2,1,1,50.0,-416.1,-4.16,23.16,-11.993,0.0,0.14,-208.05,66.9,483.0,9563.83
7.0,long,time_40,aggressive,2,1,1,50.0,-837.67,-8.38,40.09,-11.993,0.0,0.14,-418.84,133.79,971.46,9122.08
7.0,long,time_40,degen,2,1,1,50.0,-1264.71,-12.65,53.0,-11.993,0.0,0.14,-632.35,200.69,1465.39,8674.75
7.0,long,rr_2,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
7.0,long,rr_2,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
7.0,long,rr_2,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
7.0,long,rr_2,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
7.0,long,rr_3,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
7.0,long,rr_3,moderate,2,0,2,0.0,-5388.04,-53.88,60.18,-48.367,-48.367,0.0,-2694.02,0.0,2694.02,4594.07
7.0,long,rr_3,aggressive,2,0,2,0.0,-9014.5,-90.14,92.71,-48.367,-48.367,0.0,-4507.25,0.0,4507.25,953.95
7.0,long,rr_3,degen,2,0,2,0.0,-10879.37,-108.79,106.3,-48.367,-48.367,0.0,-5439.69,0.0,5439.69,-920.35
7.0,short,fixed_10,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_10,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_10,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_10,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_12,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_12,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_12,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_12,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_15,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_15,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_15,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_15,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_20,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_20,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_20,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,fixed_20,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_20,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_20,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_20,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_20,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_30,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_30,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_30,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_30,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_40,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_40,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_40,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,time_40,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_2,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_2,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_2,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_2,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_3,conservative,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_3,moderate,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_3,aggressive,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,short,rr_3,degen,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
7.0,both,fixed_10,conservative,2,2,0,100.0,2048.65,20.49,5.9,5.133786323360658e+16,0.0,99.99,1024.32,1024.32,0.0,12036.06
7.0,both,fixed_10,moderate,2,2,0,100.0,3519.8,35.2,9.83,4.278155269467213e+16,0.0,99.99,1759.9,1759.9,0.0,13498.17
7.0,both,fixed_10,aggressive,2,2,0,100.0,7566.53,75.67,19.66,3.817519510208796e+16,0.0,99.99,3783.26,3783.26,0.0,17520.03
7.0,both,fixed_10,degen,2,2,0,100.0,12140.18,121.4,29.49,3.63573286686552e+16,0.0,99.99,6070.09,6070.09,0.0,22065.58
7.0,both,fixed_12,conservative,2,1,1,50.0,-236.09,-2.36,24.79,-0.564,0.0,0.81,-118.05,1027.31,1263.4,9752.66
7.0,both,fixed_12,moderate,2,1,1,50.0,-559.45,-5.59,38.39,-0.564,0.0,0.73,-279.73,1546.22,2105.67,9422.65
7.0,both,fixed_12,aggressive,2,1,1,50.0,-1948.74,-19.49,64.56,-0.564,0.0,0.54,-974.37,2262.61,4211.35,8019.71
7.0,both,fixed_12,degen,2,1,1,50.0,-4167.85,-41.68,82.38,-0.564,0.0,0.34,-2083.92,2149.18,6317.03,5791.17
7.0,both,fixed_15,conservative,2,0,2,0.0,-3444.21,-34.44,40.09,-48.367,-48.367,0.0,-1722.11,0.0,1722.11,6544.54
