wick_threshold,direction,exit_type,risk_profile,total_trades,winning_trades,losing_trades,win_rate,total_pnl,total_return_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,profit_factor,expectancy,avg_win,avg_loss,final_balance
4.0,both,time_30,degen,16,8,8,50.0,13685.72,136.86,82.06,4.496,42.123,1.3,855.36,7321.97,5611.26,22867.22
4.0,both,time_40,conservative,14,7,7,50.0,7142.36,71.42,27.45,5.409,46.557,2.38,510.17,1757.87,737.54,17019.97
4.0,both,time_40,moderate,14,7,7,50.0,12107.71,121.08,40.27,5.409,46.557,2.16,864.84,3214.5,1484.83,21864.63
4.0,both,time_40,aggressive,14,7,7,50.0,22588.33,225.88,63.29,5.409,46.557,1.8,1613.45,7259.92,4033.01,31955.73
4.0,both,time_40,degen,14,7,7,50.0,26575.34,265.75,78.43,5.409,46.557,1.55,1898.24,10743.17,6946.69,35548.96
4.0,both,rr_2,conservative,16,6,10,37.5,-3258.07,-32.58,54.81,-2.831,-4.63,0.62,-203.63,887.06,858.04,6650.27
4.0,both,rr_2,moderate,16,6,10,37.5,-5400.41,-54.0,75.37,-2.831,-4.63,0.61,-337.53,1383.16,1369.94,4453.46
4.0,both,rr_2,aggressive,16,6,10,37.5,-9088.31,-90.88,97.85,-2.831,-4.63,0.61,-568.02,2388.85,2342.14,653.46
4.0,both,rr_2,degen,14,4,10,28.57,-9793.21,-97.93,100.6,-4.64,-7.662,0.67,-699.52,4904.04,2940.94,-144.59
4.0,both,rr_3,conservative,15,4,11,26.67,-3067.91,-30.68,55.6,-2.106,-4.211,0.71,-204.53,1836.9,946.86,6831.93
4.0,both,rr_3,moderate,15,4,11,26.67,-5268.55,-52.69,75.99,-2.106,-4.211,0.71,-351.24,3152.42,1625.29,4558.68
4.0,both,rr_3,aggressive,15,4,11,26.67,-9022.51,-90.23,97.54,-2.106,-4.211,0.74,-601.5,6363.76,3134.32,630.79
4.0,both,rr_3,degen,14,4,10,28.57,-9787.27,-97.87,100.84,-1.797,-3.616,0.79,-699.09,9053.8,4600.25,-283.07
5.0,long,fixed_10,conservative,8,5,3,62.5,2772.0,27.72,19.99,6.682,39.13,2.28,346.5,988.35,723.24,12723.07
5.0,long,fixed_10,moderate,8,5,3,62.5,4543.81,45.44,31.75,6.682,39.13,2.25,567.98,1638.63,1216.44,14462.06
5.0,long,fixed_10,aggressive,8,5,3,62.5,8038.53,80.39,56.08,6.682,39.13,2.09,1004.82,3077.14,2449.06,17879.78
5.0,long,fixed_10,degen,8,5,3,62.5,9101.71,91.02,73.97,6.682,39.13,1.84,1137.71,3996.28,3626.57,18882.28
5.0,long,fixed_12,conservative,8,4,4,50.0,1722.86,17.23,19.99,4.141,30.791,1.59,215.36,1158.51,727.79,11673.62
5.0,long,fixed_12,moderate,8,4,4,50.0,2544.54,25.45,31.75,4.141,30.791,1.51,318.07,1880.26,1244.13,12462.2
5.0,long,fixed_12,aggressive,8,4,4,50.0,3117.99,31.18,56.08,4.141,30.791,1.31,389.75,3328.53,2549.03,12958.97
5.0,long,fixed_12,degen,8,4,4,50.0,1472.85,14.73,73.97,4.141,30.791,1.1,184.11,4088.96,3720.75,11255.04
5.0,long,fixed_15,conservative,7,3,4,42.86,-901.8,-9.02,34.49,-0.304,-0.555,0.82,-128.83,1332.54,1224.86,9056.22
5.0,long,fixed_15,moderate,7,3,4,42.86,-2247.82,-22.48,53.21,-0.304,-0.555,0.73,-321.12,2024.01,2079.96,7683.24
5.0,long,fixed_15,aggressive,7,3,4,42.86,-7463.91,-74.64,90.23,-0.304,-0.555,0.55,-1066.27,2981.16,4101.85,2407.89
5.0,long,fixed_15,degen,6,2,4,33.33,-11800.35,-118.0,111.41,-3.161,-5.625,0.48,-1966.72,5362.89,5631.53,-1980.45
5.0,long,fixed_20,conservative,6,1,5,16.67,-3047.96,-30.48,38.08,-6.071,-10.377,0.34,-507.99,1595.17,928.63,6920.03
5.0,long,fixed_20,moderate,6,1,5,16.67,-4985.04,-49.85,58.47,-6.071,-10.377,0.31,-830.84,2283.16,1453.64,4966.16
5.0,long,fixed_20,aggressive,6,1,5,16.67,-8863.61,-88.64,92.37,-6.071,-10.377,0.25,-1477.27,2995.7,2371.86,1060.26
5.0,long,fixed_20,degen,5,1,4,20.0,-11289.52,-112.9,108.64,-5.676,-10.195,0.19,-2257.9,2728.8,3504.58,-1381.36
5.0,long,time_20,conservative,7,4,3,57.14,49.13,0.49,23.82,0.62,1.832,1.04,7.02,346.96,446.24,10010.05
5.0,long,time_20,moderate,7,4,3,57.14,3.72,0.04,36.54,0.62,1.832,1.0,0.53,541.91,721.3,9941.84
5.0,long,time_20,aggressive,7,4,3,57.14,-386.27,-3.86,60.31,0.62,1.832,0.9,-55.18,904.1,1334.22,9506.02
5.0,long,time_20,degen,7,4,3,57.14,-1158.6,-11.59,75.92,0.62,1.832,0.79,-165.51,1095.43,1846.78,8703.16
5.0,long,time_30,conservative,7,4,3,57.14,886.8,8.87,27.93,3.112,15.125,1.46,126.69,699.07,636.49,10847.92
5.0,long,time_30,moderate,7,4,3,57.14,1251.11,12.51,42.25,3.112,15.125,1.41,178.73,1072.61,1013.12,11190.01
5.0,long,time_30,aggressive,7,4,3,57.14,1265.31,12.65,67.54,3.112,15.125,1.23,180.76,1666.81,1800.65,11162.61
5.0,long,time_30,degen,7,4,3,57.14,-25.29,-0.25,82.77,3.112,15.125,1.0,-3.61,1786.35,2390.23,9850.18
5.0,long,time_40,conservative,7,3,4,42.86,-319.8,-3.2,27.93,-0.505,-1.593,0.85,-45.69,613.57,540.13,9642.78
5.0,long,time_40,moderate,7,3,4,42.86,-704.46,-7.04,42.25,-0.505,-1.593,0.79,-100.64,903.92,854.06,9238.1
5.0,long,time_40,aggressive,7,3,4,42.86,-2154.23,-21.54,67.54,-0.505,-1.593,0.64,-307.75,1266.6,1488.51,7753.74
5.0,long,time_40,degen,7,3,4,42.86,-4061.96,-40.62,82.99,-0.505,-1.593,0.47,-580.28,1221.36,1931.51,5829.62
5.0,long,rr_2,conservative,7,3,4,42.86,-1727.58,-17.28,34.26,-2.249,-3.658,0.63,-246.8,981.15,1167.76,8232.02
5.0,long,rr_2,moderate,7,3,4,42.86,-3309.09,-33.09,53.44,-2.249,-3.658,0.57,-472.73,1472.65,1931.76,6625.93
5.0,long,rr_2,aggressive,7,3,4,42.86,-8013.26,-80.13,90.4,-2.249,-3.658,0.45,-1144.75,2155.45,3619.91,1870.42
5.0,long,rr_2,degen,6,2,4,33.33,-11489.42,-114.89,110.97,-4.702,-7.647,0.4,-1914.9,3842.66,4793.69,-1648.59
5.0,long,rr_3,conservative,7,2,5,28.57,-2019.66,-20.2,35.4,-2.413,-4.521,0.63,-288.52,1697.22,1082.82,7937.66
5.0,long,rr_3,moderate,7,2,5,28.57,-3757.68,-37.58,54.32,-2.413,-4.521,0.59,-536.81,2717.44,1838.51,6171.74
5.0,long,rr_3,aggressive,7,2,5,28.57,-8306.64,-83.07,89.65,-2.413,-4.521,0.54,-1186.66,4782.74,3574.42,1561.12
5.0,long,rr_3,degen,6,2,4,33.33,-12140.86,-121.41,113.22,-1.849,-3.605,0.5,-2023.48,6143.46,6106.94,-2326.92
5.0,short,fixed_10,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,fixed_10,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,fixed_10,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,fixed_10,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,fixed_12,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,fixed_12,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,fixed_12,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,fixed_12,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,fixed_15,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,fixed_15,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,fixed_15,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,fixed_15,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,fixed_20,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,fixed_20,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,fixed_20,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,fixed_20,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,time_20,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,time_20,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,time_20,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,time_20,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,time_30,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,time_30,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,time_30,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,time_30,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,time_40,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,time_40,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,time_40,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,time_40,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,rr_2,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,rr_2,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,rr_2,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,rr_2,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,short,rr_3,conservative,2,1,1,50.0,-329.73,-3.3,9.5,-4.918,0.0,0.49,-164.86,319.84,649.57,9658.67
5.0,short,rr_3,moderate,2,1,1,50.0,-574.48,-5.74,15.51,-4.918,0.0,0.47,-287.24,508.14,1082.62,9406.62
5.0,short,rr_3,aggressive,2,1,1,50.0,-1273.62,-12.74,29.51,-4.918,0.0,0.41,-636.81,891.62,2165.24,8690.77
5.0,short,rr_3,degen,2,1,1,50.0,-2097.42,-20.97,42.2,-4.918,0.0,0.35,-1048.71,1150.43,3247.86,7852.44
5.0,both,fixed_10,conservative,10,6,4,60.0,2349.38,23.49,22.77,4.919,31.465,1.84,234.94,857.5,698.9,12288.8
5.0,both,fixed_10,moderate,10,6,4,60.0,3704.21,37.04,36.25,4.919,31.465,1.8,370.42,1391.98,1161.92,13603.91
5.0,both,fixed_10,aggressive,10,6,4,60.0,5727.26,57.27,63.43,4.919,31.465,1.64,572.73,2457.31,2254.15,15538.9
5.0,both,fixed_10,degen,10,6,4,60.0,5075.36,50.75,81.62,4.919,31.465,1.4,507.54,2971.01,3187.68,14827.19
5.0,both,fixed_12,conservative,10,5,5,50.0,1335.7,13.36,21.37,2.967,23.001,1.38,133.57,969.95,702.81,11275.17
5.0,both,fixed_12,moderate,10,5,5,50.0,1822.42,18.22,34.42,2.967,23.001,1.31,182.24,1544.36,1179.87,11722.72
5.0,both,fixed_12,aggressive,10,5,5,50.0,1445.64,14.46,61.59,2.967,23.001,1.13,144.56,2588.32,2299.19,11262.34
5.0,both,fixed_12,degen,10,5,5,50.0,-925.56,-9.26,80.38,2.967,23.001,0.94,-92.56,3003.23,3188.34,8837.94
5.0,both,fixed_15,conservative,9,4,5,44.44,-1200.25,-12.0,37.58,-0.686,-1.206,0.78,-133.36,1052.72,1082.22,8747.1
5.0,both,fixed_15,moderate,9,4,5,44.44,-2688.13,-26.88,58.03,-0.686,-1.206,0.7,-298.68,1574.13,1796.93,7227.34
5.0,both,fixed_15,aggressive,9,4,5,44.44,-7760.84,-77.61,92.36,-0.686,-1.206,0.54,-862.32,2246.1,3349.05,2092.64
5.0,both,fixed_15,degen,7,2,5,28.57,-11135.35,-111.35,107.67,-4.047,-7.2,0.49,-1590.76,5362.89,4372.23,-1331.29
5.0,both,fixed_20,conservative,7,1,6,14.29,-3496.48,-34.96,42.14,-6.83,-11.654,0.31,-499.5,1595.17,848.61,6466.38
5.0,both,fixed_20,moderate,7,1,6,14.29,-5520.04,-55.2,63.01,-6.83,-11.654,0.29,-788.58,2283.16,1300.53,4423.55
5.0,both,fixed_20,aggressive,7,1,6,14.29,-9084.07,-90.84,94.04,-6.83,-11.654,0.25,-1297.72,2995.7,2013.3,828.57
5.0,both,fixed_20,degen,6,1,5,16.67,-10825.69,-108.26,105.81,-6.489,-11.49,0.2,-1804.28,2728.8,2710.9,-928.57
5.0,both,time_20,conservative,9,5,4,55.56,-282.6,-2.83,28.81,-0.737,-2.232,0.85,-31.4,328.97,481.87,9668.37
5.0,both,time_20,moderate,9,5,4,55.56,-571.85,-5.72,43.48,-0.737,-2.232,0.81,-63.54,501.16,769.42,9351.91
5.0,both,time_20,aggressive,9,5,4,55.56,-1612.3,-16.12,68.98,-0.737,-2.232,0.71,-179.14,777.3,1374.7,8261.46
5.0,both,time_20,degen,9,5,4,55.56,-3012.75,-30.13,83.81,-0.737,-2.232,0.59,-334.75,860.06,1828.26,6834.1
5.0,both,time_30,conservative,9,5,4,55.56,526.95,5.27,28.57,1.825,9.639,1.21,58.55,605.44,625.06,10477.64
5.0,both,time_30,moderate,9,5,4,55.56,602.54,6.03,43.78,1.825,9.639,1.15,66.95,910.15,987.05,10526.02
5.0,both,time_30,aggressive,9,5,4,55.56,-175.42,-1.75,70.97,1.825,9.639,0.97,-19.49,1325.33,1700.52,9701.16
5.0,both,time_30,degen,9,5,4,55.56,-2123.41,-21.23,86.62,1.825,9.639,0.75,-235.93,1302.36,2158.8,7734.79
5.0,both,time_40,conservative,9,4,5,44.44,-639.33,-6.39,31.57,-1.241,-4.107,0.76,-71.04,517.66,541.99,9313.65
5.0,both,time_40,moderate,9,4,5,44.44,-1239.1,-12.39,47.45,-1.241,-4.107,0.71,-137.68,746.38,844.92,8689.93
5.0,both,time_40,aggressive,9,4,5,44.44,-3153.09,-31.53,74.2,-1.241,-4.107,0.55,-350.34,981.2,1415.58,6738.59
5.0,both,time_40,degen,9,4,5,44.44,-5301.43,-53.01,88.57,-1.241,-4.107,0.4,-589.05,873.62,1759.18,4577.67
5.0,both,rr_2,conservative,9,4,5,44.44,-1998.65,-19.99,38.09,-2.414,-3.8,0.61,-222.07,789.39,1031.24,7951.04
5.0,both,rr_2,moderate,9,4,5,44.44,-3688.31,-36.88,58.53,-2.414,-3.8,0.56,-409.81,1162.74,1667.85,6232.75
